serialNum,property,name,index,lat,lon
788,ФГБУ Центральное УГМС,ТОРОПЕЦ,26479,56.48,31.63
1227,ФГБУ Северное УГМС,ТОТЬМА,27051,59.88,42.75
3098,ФГБУ Уральское УГМС,ТРОИЦК,28748,54.08,61.62
4582,ФГБУ Забайкальское УГМС,ТРОИЦКИЙ ПРИИСК,30555,54.58,113.15
1289,ФГБУ Северное УГМС,ТРОИЦКО-ПЕЧОРСК,23711,62.7325,56.19305556
3449,ФГБУ Западно-Сибирское УГМС,Троицкое,29936,52.58,84.41
6066,ФГБУ Дальневосточное УГМС,ТРОИЦКОЕ - Р.АМУР,31655,49.45,136.56
1904,ФГБУ Приволжское УГМС,"ТРОИЦКОЕ, А",28817,53.33,52.82
1905,ФГБУ Приволжское УГМС,"ТРОИЦКОЕ,Т",35022,52.33,56.37
181,ФГБУ Центрально-Черноземное УГМС,ТРУБЧЕВСК,26997,52.58,33.77
3099,ФГБУ Уральское УГМС,ТУГУЛЫМ,28359,57.07,64.67
2186,ФГБУ Башкирское УГМС,ТУКАН,28823,53.86,57.41
201,ФГБУ Центральное УГМС,ТУЛА,27719,54.23,37.62
1431,ФГБУ Центральное УГМС,ТУМА,27636,55.13,40.55
4368,ФГБУ Дальневосточное УГМС,ТУМНИН - Р.ТУМНИН,31683,49.65,140.08
6191,ФГБУ Забайкальское УГМС,ТУНГОКОЧЕН,30664,53.53,115.62
4791,ФГБУ Забайкальское УГМС,ТУНКА,30811,51.73,102.53
5073,ФГБУ Якутское УГМС,ТУОЙ-ХАЯ,24725,62.53,111.23
4583,ФГБУ Забайкальское УГМС,ТУПИК,30576,54.43,119.9
3754,ФГБУ Среднесибирское УГМС,ТУРАН,36092,52.1333,93.9167
3128,ФГБУ Уральское УГМС,ТУРИНСК,28255,58.05,63.68
3100,ФГБУ Уральское УГМС,ТУРИНСКАЯ СЛОБОДА,28353,57.62,64.4
3450,ФГБУ Западно-Сибирское УГМС,Турочак,36061,52.15,87.08
441,ФГБУ Северное УГМС,ТУРЧАСОВО,22648,63.11083333,39.23694444
1475,ФГБУ Центральное УГМС,ТУТАЕВ,27229,57.9,39.53
3755,ФГБУ Среднесибирское УГМС,ТУТОНЧАНЫ,23589,64.2,93.7833
4369,ФГБУ Дальневосточное УГМС,ТЫГДА,31299,53.1,126.35
4844,ФГБУ Иркутское УГМС,ТЫРКА,30526,54.48,107.07
3756,ФГБУ Среднесибирское УГМС,ТЭЭЛИ,36078,51.02,90.2
2869,ФГБУ Обь-Иртышское УГМС,Тюкалинск,28586,55.86861111,72.21666667
3757,ФГБУ Среднесибирское УГМС,ТЮХТЕТ - Р.ТЮХТЕТ,29456,56.5333,89.3167
3451,ФГБУ Западно-Сибирское УГМС,Тяжин,29552,56.07,88.31
5074,ФГБУ Якутское УГМС,ТЯНЯ,30173,59,119.8
4584,ФГБУ Забайкальское УГМС,УАКИТ,30455,55.48,113.62
3452,ФГБУ Западно-Сибирское УГМС,Убинское,29613,55.18,79.38
3381,ФГБУ Обь-Иртышское УГМС,УВАТ - Р.ИРТЫШ,28172,59.16666944,68.91666944
5075,ФГБУ Якутское УГМС,УГИНО,31016,58.63,128.5
1480,ФГБУ Центральное УГМС,УГЛИЧ,27321,57.5,38.3
3453,ФГБУ Западно-Сибирское УГМС,Угловское,36028,51.22,80.12
2870,ФГБУ Обь-Иртышское УГМС,Угут - Р. Большой Юган,23946,60.51138889,74.04388889
4370,ФГБУ Дальневосточное УГМС,УДИНСКОЕ - Р.АМГУНЬ,31423,52.92,138.85
4371,ФГБУ Дальневосточное УГМС,УДСКОЕ - Р.УДА,31285,54.5,134.42
5761,ФГБУ Колымское УГМС,Уега,24982,60.72,142.78
3454,ФГБУ Западно-Сибирское УГМС,Ужаниха,29722,54.4,81.02
3758,ФГБУ Среднесибирское УГМС,УЖУР СТ.Ж.Д.,29653,55.3,89.8167
4845,ФГБУ Иркутское УГМС,УЗУР,30637,53.32,107.73
3759,ФГБУ Среднесибирское УГМС,УЙБАТ СТ.Ж.Д.,29864,53.72,90.37
4585,ФГБУ Забайкальское УГМС,УЛЕТЫ,30846,51.35,112.47
2187,ФГБУ Башкирское УГМС,УЛУ-ТЕЛЯК,28629,54.9,56.95
183,ФГБУ Центрально-Черноземное УГМС,УНЕЧА,26985,52.83,32.67
1636,ФГБУ Верхне-Волжское УГМС,УНИ,28302,57.75,51.5
4610,ФГБУ Забайкальское УГМС,УОЯН,30348,56.13,111.62
27,ФГБУ Мурманское УГМС,УРА-ГУБА,22018,69.28,32.8
1643,ФГБУ Верхне-Волжское УГМС,УРЖУМ,28307,57.12,50
4372,ФГБУ Дальневосточное УГМС,УРМИ - Р.БЕРЕНДЖА,31624,49.4,133.23
8456,ФГБУ Северо-Кавказское УГМС,УРУС-МАРТАН,37236,43.06666667,45.35
4586,ФГБУ Забайкальское УГМС,УРЮПИНО,30781,52.75,120.03
2642,ФГБУ Северо-Кавказское УГМС,УРЮПИНСК,34240,50.8,42
442,ФГБУ Северное УГМС,УСТЬ-ВЫМЬ,23707,62.22777778,50.41638889
4590,ФГБУ Забайкальское УГМС,УСТЬ-ДЖИЛИНДА,30643,53.67,111.95
6227,ФГБУ Иркутское УГМС,УСТЬ-ИЛИМСК,30210,57.98,102.68
4176,ФГБУ Обь-Иртышское УГМС,УСТЬ-ИШИМ - Р.ИРТЫШ,28382,57.70666667,71.16277778
3455,ФГБУ Западно-Сибирское УГМС,Усть-Кабырза,29955,52.49,88.27
3456,ФГБУ Западно-Сибирское УГМС,Усть-Калманка,36044,52.07,83.23
3760,ФГБУ Среднесибирское УГМС,УСТЬ-КАМО - Р.ПОДКАМЕННАЯ ТУНГУСКА,23992,60.7167,97.5167
3457,ФГБУ Западно-Сибирское УГМС,Усть-Кан,36213,50.56,84.45
4592,ФГБУ Забайкальское УГМС,УСТЬ-КАРЕНГА,30565,54.43,116.53
4617,ФГБУ Забайкальское УГМС,УСТЬ-КАРСК,30772,52.7,118.8
3458,ФГБУ Западно-Сибирское УГМС,Усть-Кокса,36229,50.16,85.37
1218,ФГБУ Северное УГМС,УСТЬ-КУЛОМ,23803,61.69944444,53.695
2339,ФГБУ Северо-Кавказское УГМС,УСТЬ-ЛАБИНСК,34937,45.23333333,39.73333333
5076,ФГБУ Якутское УГМС,УСТЬ-МОМА,24382,66.45027778,143.2216667
4373,ФГБУ Дальневосточное УГМС,УСТЬ-НЮКЖА - Р.ОЛЕКМА,30385,56.58,121.5
3459,ФГБУ Западно-Сибирское УГМС,Усть-Озерное,29154,58.53,87.45
5256,ФГБУ Якутское УГМС,УСТЬ-ОЛЕНЕК,21711,73,119.87
5769,ФГБУ Иркутское УГМС,УСТЬ-ОРДЫНСКИЙ,30713,52.81,104.76
3460,ФГБУ Западно-Сибирское УГМС,Усть-Тарка,29500,55.34,75.41
6120,ФГБУ Иркутское УГМС,УСТЬ-УДА,30514,54.16,103.01
4374,ФГБУ Дальневосточное УГМС,УСТЬ-УМАЛЬТА - Р.БУРЕЯ,31474,51.63,133.27
445,ФГБУ Северное УГМС,УСТЬ-УСА,23412,65.98444444,56.90555556
3761,ФГБУ Среднесибирское УГМС,УСТЬ-УСА - BДХР.САЯНО-ШУШЕНСКОЕ,36083,51.95,92.22
5342,ФГБУ Камчатское УГМС,УСТЬ-ХАЙРЮЗОВО,32287,57.08,156.7
5077,ФГБУ Якутское УГМС,УСТЬ-ЧАРКЫ,24371,66.8,136.68
3461,ФГБУ Западно-Сибирское УГМС,Усть-Чарышская Пристань,36041,52.24,83.41
3101,ФГБУ Уральское УГМС,УСТЬ-ЧЕРНАЯ,23905,60.47,52.63
