index,h,q
6345,10,10
6349,10,10
6363,10,NA
6364,10,NA
6369,10,NA
6373,10,10
6387,10,10
6403,10,10
6407,10,10
6411,10,10
6414,10,10
6417,10,NA
6421,10,NA
6424,10,10
6437,10,9
6443,10,10
6444,10,10
6453,10,NA
6456,10,5
6473,10,10
6479,10,9
6485,10,10
6488,10,8
6491,10,10
6492,NA,6
6496,NA,6
6497,4,4
6506,10,10
6507,10,10
6511,10,NA
6523,10,NA
6528,10,10
6535,10,10
6544,10,NA
6545,10,10
6549,10,10
6550,10,10
6551,9,9
6556,8,7
6557,8,7
6562,10,10
6563,10,10
6564,5,5
6568,10,10
6573,2,2
6574,NA,9
70002,NA,10
70011,NA,10
70016,NA,10
70021,NA,10
70025,NA,10
70027,NA,10
7003,NA,10
70031,NA,10
70036,NA,10
7004,NA,10
70043,NA,10
7006,NA,10
70066,NA,10
70072,NA,10
7008,NA,10
70085,NA,10
7009,NA,10
70091,NA,10
70098,NA,10
70102,NA,10
7011,NA,10
70117,NA,10
70118,NA,10
7012,NA,10
70120,NA,10
70121,NA,10
70129,NA,10
70135,NA,9
70139,NA,10
70147,NA,10
7015,NA,10
70150,NA,10
70152,NA,10
70153,NA,9
70156,NA,10
70158,NA,10
7016,NA,10
70163,NA,10
70167,NA,10
70169,NA,10
7017,NA,8
70175,NA,10
70176,NA,10
70180,NA,10
7020,NA,10
70200,NA,10
70205,NA,10
70206,NA,10
70207,NA,10
70209,NA,10
70211,NA,10
70212,NA,10
70213,NA,10
70215,NA,10
70217,NA,10
7022,NA,10
70221,NA,10
70227,NA,10
70230,NA,10
70231,NA,10
70238,NA,10
7024,NA,10
70242,NA,10
70246,NA,10
70248,NA,10
70250,NA,10
70252,NA,10
70270,NA,10
70271,NA,10
70273,NA,7
70274,NA,3
70275,NA,10
7028,NA,10
70284,NA,10
70288,NA,10
7029,NA,10
70291,NA,10
70292,NA,10
70293,NA,10
70295,NA,10
70298,NA,10
70299,NA,10
70302,NA,10
70309,NA,10
7031,NA,10
70311,NA,10
70325,NA,10
70328,NA,10
70331,NA,10
70334,NA,10
70339,NA,10
7034,NA,10
70340,NA,10
70345,NA,10
70348,NA,10
7036,NA,10
70361,NA,10
70362,NA,10
70363,NA,10
70366,NA,9
70374,NA,10
70376,NA,10
70377,NA,10
70378,NA,10
70382,NA,10
7039,NA,10
70390,NA,10
70393,NA,10
70394,NA,9
70399,NA,10
70403,NA,10
70408,NA,10
7041,NA,10
70410,NA,10
70414,NA,10
70421,NA,10
70442,NA,10
70444,NA,10
70458,NA,10
70459,NA,10
70466,NA,10
7047,NA,10
70486,NA,10
70494,NA,10
70497,NA,9
70499,NA,10
70505,NA,7
70509,NA,10
7051,NA,10
70512,NA,10
70517,NA,10
70522,NA,10
7053,NA,10
70530,NA,7
70531,NA,10
70533,NA,10
70540,NA,10
70542,NA,10
70549,NA,10
70557,NA,10
70559,NA,10
7056,NA,10
70566,NA,10
70567,NA,6
70569,NA,10
70574,NA,10
70575,NA,10
70576,NA,6
70579,NA,10
70583,NA,10
70584,NA,10
70586,NA,10
70587,NA,10
70589,NA,10
70596,NA,10
70597,NA,10
7060,NA,10
70601,NA,10
70605,NA,10
70609,NA,10
70611,NA,10
70614,NA,10
70615,NA,3
70616,NA,10
70617,NA,10
70619,NA,8
7062,NA,10
70620,NA,6
70623,NA,9
70624,NA,10
70629,NA,3
7063,NA,10
7064,NA,10
7066,NA,10
7072,NA,10
7076,NA,10
7080,NA,10
70801,NA,10
70827,NA,10
70842,NA,10
70844,NA,10
70850,NA,10
7087,NA,10
7091,NA,10
7093,NA,8
7096,NA,10
7098,NA,10
7099,NA,10
71010,NA,6
71018,NA,10
7102,NA,10
7104,NA,10
71044,NA,10
71067,NA,10
71068,NA,10
71077,NA,5
7108,NA,10
71085,NA,10
71086,NA,10
71090,NA,6
71092,NA,10
71096,NA,10
71098,NA,7
71104,NA,10
71109,NA,10
71117,NA,6
7112,NA,10
71126,NA,10
71131,NA,10
71139,NA,10
71140,NA,10
71141,NA,5
71146,NA,10
71153,NA,10
71165,NA,10
71168,NA,10
7118,NA,8
71185,NA,10
71186,NA,10
7119,NA,10
71193,NA,10
71199,NA,10
71239,NA,10
7124,NA,10
71241,NA,10
71245,NA,10
71258,NA,10
71260,NA,10
71267,NA,10
71268,NA,10
71277,NA,10
71288,NA,5
7130,NA,10
7133,NA,10
7135,NA,10
7138,NA,8
7142,NA,10
7143,NA,8
7148,NA,10
7152,NA,10
7156,NA,10
7161,NA,10
7167,NA,10
7168,NA,10
7171,NA,10
7172,NA,10
7174,NA,10
7176,NA,10
7180,NA,10
7183,NA,8
7185,NA,10
7187,NA,10
7190,NA,10
7197,NA,10
7200,NA,10
72002,NA,6
