"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
78231;2430;1;"ФГБУ Северо-Кавказское УГМС";"БОРОВКИ - р. Иловля";49.4;44.03;8730
78234;2477;1;"ФГБУ Северо-Кавказское УГМС";"КУЗНЕЦОВ - р. Тишанка";49.18;44.08;795
78235;2500;1;"ФГБУ Северо-Кавказское УГМС";"ПАНЬШИНО - р. Паньшинка";49.05;44.03;965
78252;2657;1;"ФГБУ Северо-Кавказское УГМС";"ОБЛИВСКАЯ - р. Чир";48.53;42.51;8470
78261;2438;1;"ФГБУ Северо-Кавказское УГМС";"ВОДЯНСКИЙ - р. Аксай Есауловский";48;43.4;2110
78275;224;1;"ФГБУ Центрально-Черноземное УГМС";"КИСЕЛЕВО - Р.СЕBЕРСКИЙ ДОНЕЦ";50.73;36.68;740
78277;1564;1;"ФГБУ Центрально-Черноземное УГМС";"ЗЕЛЕНАЯ ПОЛЯНА - Р.СЕВЕРСКИЙ ДОНЕЦ";50.61;36.65;1225
78345;268;1;"ФГБУ Центрально-Черноземное УГМС";"ШЕБЕКИНО - Р.НЕЖЕГОЛЬ";50.42;36.9;2070
78391;276;1;"ФГБУ Центрально-Черноземное УГМС";"СТАРЫЙ ОСКОЛ - Р.ОСКОЛ";51.3;37.88;1540
78393;239;1;"ФГБУ Центрально-Черноземное УГМС";"НИНОВКА - Р.ОСКОЛ";50.73;37.83;6270
78394;256;1;"ФГБУ Центрально-Черноземное УГМС";"РАЗДОЛЬЕ - Р.ОСКОЛ";50.18;38.1;8640
78404;261;1;"ФГБУ Центрально-Черноземное УГМС";"СТАРЫЙ ОСКОЛ - Р.ОСКОЛЕЦ";51.28;37.83;494
78499;2418;1;"ФГБУ Северо-Кавказское УГМС";"АСТАХОВСКИЙ - р. Глубокая";48.45;40.3;1130
78501;2476;1;"ФГБУ Северо-Кавказское УГМС";"КУДИНОВКА - р. Калитва";49.2;40.46;1110
78502;2498;1;"ФГБУ Северо-Кавказское УГМС";"ОЛЬХОВЫЙ РОГ - р. Калитва";49.01;40.66;3240
78503;2505;1;"ФГБУ Северо-Кавказское УГМС";"РАЗДОЛЬЕ - р. Калитва";48.51;41.03;8060
78504;2503;1;"ФГБУ Северо-Кавказское УГМС";"ПОГОРЕЛОВ - р. Калитва";48.21;40.86;10500
78507;2464;1;"ФГБУ Северо-Кавказское УГМС";"КАШАРЫ - р. Ольховая";49.01;41;1020
78509;2457;1;"ФГБУ Северо-Кавказское УГМС";"ИНДУСТРИЯ - р. Большая";48.73;41.16;1890
78510;2413;1;"ФГБУ Северо-Кавказское УГМС";"АНТОНОВКА - р. Березовая";48.63;41.36;1260
78512;2429;1;"ФГБУ Северо-Кавказское УГМС";"БОГУРАЕВ - р. Лихая";48.13;40.66;722
78513;2512;1;"ФГБУ Северо-Кавказское УГМС";"СКОСЫРСКАЯ - р. Быстрая";48.41666667;41.33333333;2950
78519;2437;1;"ФГБУ Северо-Кавказское УГМС";"ВЛАДИМИРОВСКАЯ - р. Кундрючья";47.93;40.28;1120
78563;2488;1;"ФГБУ Северо-Кавказское УГМС";"НЕСВЕТАЙ - р. Тузлов";47.46;39.66;1910
78568;2428;1;"ФГБУ Северо-Кавказское УГМС";"БОЛЬШЕКРЕПИНСКАЯ - р. Крепкая";47.6;39.38;568
78596;2451;1;"ФГБУ Северо-Кавказское УГМС";"ДОНСКОЕ - р. Ташла";45.46;41.96;428
78611;229;1;"ФГБУ Центрально-Черноземное УГМС";"КРУТОЕ - Р.МАТЫРА";52.53;40.28;2670
78614;1997;1;"ФГБУ Приволжское УГМС";"КАРАУЛОВКА - Р.КОЛЫШЛЕЙ";52.67;44.6;616
78620;1995;1;"ФГБУ Приволжское УГМС";"КАЗАЧКА - Р.ТЕРСА";51.47;43.93;307
78801;2506;1;"ФГБУ Северо-Кавказское УГМС";"РАЗДОРСКАЯ - р. Дон";47.51;40.65;378000
78803;2540;2;"ФГБУ Северо-Кавказское УГМС";"БАГАЕВСКИЙ - р. Дон";47.33;40.38;378000
78805;2556;3;"ФГБУ Северо-Кавказское УГМС";"СТАРОЧЕРКАССКАЯ - р. Дон";47.23333333;40.08333333;410000
78810;2555;3;"ФГБУ Северо-Кавказское УГМС";"РОСТОВ-НА-ДОНУ - р. Дон";47.21666667;39.70000278;420000
78822;2549;3;"ФГБУ Северо-Кавказское УГМС";"ДУГИНО - р. Дон, рук. Большая Каланча";47.16666667;39.43333333;0
78826;2773;3;"ФГБУ Северо-Кавказское УГМС";"ПЕРЕБОЙНЫЙ - Р.ДОН, РУК.ПЕРЕBОЛОКА,ПР.B.ПЕРЕБОЙКА";47.16622369;39.2975425;0
79001;851;1;"ФГБУ Центральное УГМС";"БОЛШЕВО - Р.ДНЕПР";55.73;33.85;247
79006;899;1;"ФГБУ Центральное УГМС";"ДОРОГОБУЖ - Р.ДНЕПР";54.92;33.3;6390
79008;1029;2;"ФГБУ Центральное УГМС";"СОЛОВЬЕВО - Р.ДНЕПР";54.93;32.71;10900
